Year,Month,Danceability,Danceability,Energy,Energy,Speechiness,Speechiness,Acousticness,Acousticness,Instrumentalness,Instrumentalness,Liveness
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean
1958,8,0.6795,0.03688205138391454,0.9145,0.03046778157801635,0.04735,0.008605811989580065,0.2505,0.14378654814888434,0.092,0.09835213702377217,0.275
1958,9,0.6833333333333333,0.036366193091936345,0.9113333333333333,0.03004163777159958,0.048244444444444444,0.008485445054785148,0.23555555555555557,0.14177544843088236,0.10222222222222221,0.0969765149118303,0.2644444444444444
1958,10,0.714,0.0,0.886,0.0,0.0554,0.0,0.116,0.0,0.184,0.0,0.18
1958,11,0.714,0.0,0.886,0.0,0.0554,0.0,0.116,0.0,0.18400000000000002,0.0,0.18000000000000002
1959,10,0.518,0.0,0.556,0.0,0.0479,0.0,0.526,0.0,3e-06,0.0,0.0853
1959,11,0.55,0.06721854902728364,0.45046153846153847,0.08845018879253962,0.03734615384615385,0.009322608306746864,0.6441538461538462,0.15866938696224409,2.8e-06,2.7840797402373373e-06,0.1361923076923077
1959,12,0.545375,0.07512066380454037,0.4779166666666667,0.15173802271096024,0.036720833333333334,0.00848292295639056,0.6624166666666667,0.16252649728226032,6.216666666666667e-05,0.0002934932693794093,0.13035833333333333
1960,1,0.5486585365853659,0.1068498034055509,0.45682926829268294,0.156021136779448,0.03704390243902439,0.007292977745080804,0.6723170731707317,0.1752036584983873,0.0001421629268292683,0.0004320349129424838,0.16014146341463414
1960,2,0.5312112676056339,0.12149719755650543,0.47584507042253527,0.16734093922181095,0.037229577464788735,0.008022065896481087,0.6969718309859155,0.161356922188136,0.00010907535211267606,0.00036946707580680507,0.15714647887323946
1960,3,0.5195079365079365,0.14490429244247377,0.4781111111111111,0.17436475590083686,0.043242857142857145,0.016164384528615378,0.7318412698412698,0.15345086492668786,0.0003915136507936508,0.0016671434142764949,0.18943650793650793
1960,4,0.494864406779661,0.14144164845679827,0.47583050847457625,0.17361810573610165,0.043386440677966105,0.017222013355277344,0.7213728813559322,0.17409092930331715,0.0011545798305084747,0.0031880257037051082,0.18851186440677964
1960,5,0.5043623188405797,0.13999390438562723,0.4782463768115942,0.17844354897418674,0.04233188405797102,0.018088983426332295,0.7106376811594203,0.18799358335533475,0.001443118115942029,0.003647352055173757,0.19300724637681158
1960,6,0.5275333333333333,0.12932621565830021,0.48810000000000003,0.16249513160895057,0.03829833333333333,0.01618189500610792,0.6600666666666667,0.21064806111074819,0.002007174,0.00464088278514862,0.17454666666666666
1960,7,0.5597777777777778,0.12322163903732182,0.48383333333333334,0.1532638309804125,0.04240740740740741,0.03180298936852138,0.6615740740740741,0.19630574938012518,0.0014250914814814815,0.004158714019480109,0.19945555555555555
1960,8,0.5740483870967742,0.12784537630770043,0.44551612903225807,0.1556477466816177,0.046145161290322576,0.03174391216925892,0.6886612903225806,0.18608881570222138,0.0011798622580645162,0.0040071525975249,0.24369354838709678
1960,9,0.5660943396226416,0.13918005274725467,0.4440377358490566,0.152796113807829,0.04897924528301886,0.03123555886935572,0.737754716981132,0.12310797413096318,0.001104941320754717,0.003892633430036613,0.24808301886792453
1960,10,0.5473387096774194,0.1524277784963232,0.4503709677419355,0.16266421552438287,0.0444516129032258,0.02279353332176305,0.7441451612903226,0.11689449450275892,0.001180475,0.004006970231258604,0.23984193548387098
1960,11,0.5399473684210526,0.16533061837199425,0.47521052631578947,0.17474292436585728,0.042757894736842106,0.013002424546857724,0.741578947368421,0.07984601111360486,4.702105263157894e-06,7.944509291360423e-06,0.24615789473684208
1960,12,0.48573684210526313,0.12664729768809085,0.448,0.1357906886023895,0.0355,0.009927571035589052,0.7109473684210527,0.09054187102858392,7.108947368421052e-06,1.1048688657602386e-05,0.22726315789473683
1961,1,0.45675,0.12043415779435818,0.4043333333333334,0.1241621618056098,0.03125,0.002196898640439206,0.5484466666666666,0.2681366223447,0.0033596333333333335,0.005994518765783732,0.29786666666666667
1961,2,0.4921304347826087,0.1264750440161745,0.36178260869565215,0.1515138627086161,0.031665217391304346,0.002100780957741921,0.6196834782608696,0.3141955286790333,0.008674173913043478,0.016521176954310858,0.19303478260869564
1961,3,0.5275897435897436,0.11761304035037458,0.43105128205128207,0.1850988283277695,0.03162051282051282,0.002578981794917428,0.6428389743589744,0.28168129799655783,0.0057340743589743585,0.01480071226512814,0.21030256410256412
1961,4,0.5492325581395349,0.10869613328411991,0.4498604651162791,0.18571606354034476,0.03156976744186046,0.0029374053081978684,0.6487376744186046,0.27833081766331513,0.0049211904651162795,0.014132810392418997,0.18429767441860465
1961,5,0.5431090909090909,0.11815834835590454,0.5427454545454545,0.18640092375603823,0.03449818181818182,0.009230996312928143,0.5918610909090909,0.23986486872954058,0.0012900318181818184,0.0065633878987896264,0.2016709090909091
1961,6,0.5584117647058824,0.13154078009155365,0.5682058823529411,0.1835557514864171,0.034861764705882356,0.01058833018872113,0.5910294117647058,0.20433565453634128,0.06722344176470588,0.1859803231494703,0.1847264705882353
