Year,Month,Danceability_mean,Danceability_std,Energy_mean,Energy_std,Speechiness_mean,Speechiness_std,Acousticness_mean,Acousticness_std,Instrumentalness_mean,Instrumentalness_std,Liveness_mean
1958,8,0.6795,0.036882051,0.9145,0.030467782,0.04735,0.008605812,0.2505,0.143786548,0.092,0.098352137,0.275
1958,9,0.683333333,0.036366193,0.911333333,0.030041638,0.048244444,0.008485445,0.235555556,0.141775448,0.102222222,0.096976515,0.264444444
1958,10,0.714,0,0.886,0,0.0554,0,0.116,0,0.184,0,0.18
1958,11,0.714,0,0.886,0,0.0554,0,0.116,0,0.184,0,0.18
1959,10,0.518,0,0.556,0,0.0479,0,0.526,0,3.00E-06,0,0.0853
1959,11,0.55,0.067218549,0.450461538,0.088450189,0.037346154,0.009322608,0.644153846,0.158669387,2.80E-06,2.78E-06,0.136192308
1959,12,0.545375,0.075120664,0.477916667,0.151738023,0.036720833,0.008482923,0.662416667,0.162526497,6.22E-05,0.000293493,0.130358333
1960,1,0.548658537,0.106849803,0.456829268,0.156021137,0.037043902,0.007292978,0.672317073,0.175203658,0.000142163,0.000432035,0.160141463
1960,2,0.531211268,0.121497198,0.47584507,0.167340939,0.037229577,0.008022066,0.696971831,0.161356922,0.000109075,0.000369467,0.157146479
1960,3,0.519507937,0.144904292,0.478111111,0.174364756,0.043242857,0.016164385,0.73184127,0.153450865,0.000391514,0.001667143,0.189436508
1960,4,0.494864407,0.141441648,0.475830508,0.173618106,0.043386441,0.017222013,0.721372881,0.174090929,0.00115458,0.003188026,0.188511864
1960,5,0.504362319,0.139993904,0.478246377,0.178443549,0.042331884,0.018088983,0.710637681,0.187993583,0.001443118,0.003647352,0.193007246
1960,6,0.527533333,0.129326216,0.4881,0.162495132,0.038298333,0.016181895,0.660066667,0.210648061,0.002007174,0.004640883,0.174546667
1960,7,0.559777778,0.123221639,0.483833333,0.153263831,0.042407407,0.031802989,0.661574074,0.196305749,0.001425091,0.004158714,0.199455556
1960,8,0.574048387,0.127845376,0.445516129,0.155647747,0.046145161,0.031743912,0.68866129,0.186088816,0.001179862,0.004007153,0.243693548
1960,9,0.56609434,0.139180053,0.444037736,0.152796114,0.048979245,0.031235559,0.737754717,0.123107974,0.001104941,0.003892633,0.248083019
1960,10,0.54733871,0.152427778,0.450370968,0.162664216,0.044451613,0.022793533,0.744145161,0.116894495,0.001180475,0.00400697,0.239841935
1960,11,0.539947368,0.165330618,0.475210526,0.174742924,0.042757895,0.013002425,0.741578947,0.079846011,4.70E-06,7.94E-06,0.246157895
1960,12,0.485736842,0.126647298,0.448,0.135790689,0.0355,0.009927571,0.710947368,0.090541871,7.11E-06,1.10E-05,0.227263158
1961,1,0.45675,0.120434158,0.404333333,0.124162162,0.03125,0.002196899,0.548446667,0.268136622,0.003359633,0.005994519,0.297866667
1961,2,0.492130435,0.126475044,0.361782609,0.151513863,0.031665217,0.002100781,0.619683478,0.314195529,0.008674174,0.016521177,0.193034783
1961,3,0.527589744,0.11761304,0.431051282,0.185098828,0.031620513,0.002578982,0.642838974,0.281681298,0.005734074,0.014800712,0.210302564
1961,4,0.549232558,0.108696133,0.449860465,0.185716064,0.031569767,0.002937405,0.648737674,0.278330818,0.00492119,0.01413281,0.184297674
